"Sortierfeld_Title","Title","Format","Title No.","Title No Electronic Journal version","Title No. Print Incl. ""Enhanced Access""","ISSN print","ISSN electronic","Publisher","Language","Vols Qty","Scheduled Vol Nos","Issues per vol","Currency","Institutional Rate Print incl. Free Access or E-Only","Currency","Institutional Rate incl. Enhanced Access","Price for Postage & Handling","Status","Comments","Dispatch included"
"ADHD Attention Deficit and Hyperactivity Disorders","ADHD Attention Deficit and Hyperactivity Disorders","P E OF",12402,"12402E","12402N","1866-6116","1866-6647","Springer Wien","E",1,2,4,"USD",712,"USD",854.4,28,"New in 2009","New start in 2009. More content! ",
"Administration Policy Mental Health","Administration and Policy in Mental Health and Mental Health Services Research","P E OF",10488,"10488E","10488N","0894-587X","1573-3289","Springer US","E",1,37,6,"USD",1006,"USD",1207.2,42,,,
"Adoptie","Adoptietijdschrift","P",12406,"12406E","12406N","1388-3526",,"Bohn Stafleu van Loghum","NL",1,2010,4,,,,,,,"Order through Bohn Stafleu van Loghum. Please contact Bohn Stafleu van Loghum for price and ordering information. No electronic version available. ",
"Adsorption","Adsorption","P E OF",10450,"10450E","10450N","0929-5607","1572-8757","Springer US","E",1,16,6,"USD",512,"USD",614.4,42,,,
"Advances Applied Clifford Algebra","Advances in Applied Clifford Algebras","P E OF",6,"006E","006N","0188-7009","1661-4909","Birkhäuser Verlag Basel","E",1,20,4,"USD",253,"USD",303.6,28,,"More content! ",
"Advances Atmospheric Sciences","Advances in Atmospheric Sciences","P E",376,"376E","376N","0256-1530","1861-9533","Science Press, co-published with Springer","E",1,27,6,"USD",935,"USD",1122,42,,"Chinese Library of Science. Exclusive distribution rights for print version outside Mainland China, for electronic version worldwide. More content! ",
"Advances Computational Mathematics","Advances in Computational Mathematics","P E OF",10444,"10444E","10444N","1019-7168","1572-9044","Springer US","E",2,"32+33",4,"USD",1063,"USD",1275.6,56,,"More content! ",
"Advances Data Analysis Classification","Advances in Data Analysis and Classification","P E OF",11634,"11634E","11634N","1862-5347","1862-5355","Springer Berlin Heidelberg","E",1,4,4,"USD",220,"USD",264,28,,,
"Advances Health Sciences Education","Advances in Health Sciences Education","P E OF",10459,"10459E","10459N","1382-4996","1573-1677","Springer Netherlands","E",1,15,5,"USD",524,"USD",628.8,35,,,
"Advances Therapy","Advances in Therapy","P E OF",12325,"12325E","12325N","0741-238X","1865-8652","Springer Healthcare Communications","E",1,27,12,"USD",965,"USD",1158,84,,,
"AD-Visie","AD-Visie","P",12405,"12405E","12405N","1382-7162",,"Bohn Stafleu van Loghum","NL",1,2010,7,,,,,,,"Order through Bohn Stafleu van Loghum. Please contact Bohn Stafleu van Loghum for price and ordering information. No electronic version available. ",
"Aegean Review Law of the Sea and Maritime Law","Aegean Review of the Law of the Sea and Maritime Law","P E OF",12180,"12180E","12180N","1864-9610","1864-9629","Springer Berlin Heidelberg","E",1,2,2,"USD",277,"USD",332.4,14,"New in 2009","New Start in 2009. ",
"aequationes mathematicae","aequationes mathematicae","P E",10,"010E","010N","0001-9054","1420-8903","Birkhäuser Verlag Basel","E",2,"79+80",3,"USD",1200,"USD",1440,57,,,
"Aerobiologia","Aerobiologia","P E OF",10453,"10453E","10453N","0393-5965","1573-3025","Springer Netherlands","E",1,26,4,"USD",439,"USD",526.8,28,,,
"Aesthetic Plastic Surgery","Aesthetic Plastic Surgery","P E OF",266,"266E","266N","0364-216X","1432-5241","Springer New York","E",1,34,6,"USD",772,"USD",926.4,42,,"More content! ",
"African Archaeological Review","African Archaeological Review","P E OF",10437,"10437E","10437N","0263-0338","1572-9842","Springer US","E",1,27,4,"USD",409,"USD",490.8,28,,,
"African Journal Urology","African Journal of Urology","P E OF",12301,"12301E","12301N","1110-5704","1961-9987","Springer Paris","E/F",1,16,4,"USD",203,"USD",243.6,28,,,
"AGE","AGE","P E OF",11357,"11357E","11357N","0161-9152","1574-4647","Springer Netherlands","E",1,32,4,"USD",365,"USD",438,28,,,
"Ageing International","Ageing International","P E OF",12126,"12126E","12126N","0163-5158","1936-606X","Springer New York","E",1,35,4,"USD",410,"USD",492,40,,,
"Aggiornamenti","Aggiornamenti CIO","P",10351,"10351E","10351N","1970-6839",,"Springer Milan","It",1,16,2,"USD",84,,,20,,"No electronic version available. ",
"Agriculture Human Values","Agriculture and Human Values","P E OF",10460,"10460E","10460N","0889-048X","1572-8366","Springer Netherlands","E",1,27,4,"USD",457,"USD",548.4,28,,,
"Agroforestry Systems","Agroforestry Systems","P E OF",10457,"10457E","10457N","0167-4366","1572-9680","Springer Netherlands","E",3,"78-80",3,"USD",1405,"USD",1686,63,,,
"AI SOCIETY","AI & SOCIETY","P E OF",146,"146E","146N","0951-5666","1435-5655","Springer London","E",1,25,4,"USD",664,"USD",796.8,40,,,
